candidate_id,gender,education_score,experience_years,technical_score,hired
1,Male,67,3,60,1
2,Male,74,6,65,1
3,Male,81,1,70,1
4,Male,88,4,75,1
5,Male,60,7,80,1
6,Male,67,2,85,1
7,Male,74,5,90,1
8,Male,81,0,55,1
9,Male,88,3,60,1
10,Male,60,6,65,1
11,Male,67,1,70,1
12,Male,74,4,75,1
13,Male,81,7,80,1
14,Male,88,2,85,1
15,Male,60,5,90,1
16,Male,67,0,55,1
17,Male,74,3,60,1
18,Male,81,6,65,1
19,Male,88,1,70,1
20,Male,60,4,75,1
21,Male,67,7,80,1
22,Male,74,2,85,1
23,Male,81,5,90,1
24,Male,88,0,55,1
25,Male,60,3,60,1
26,Male,67,6,65,1
27,Male,74,1,70,1
28,Male,81,4,75,1
29,Male,88,7,80,1
30,Male,60,2,85,1
31,Male,67,5,90,1
32,Male,74,0,55,1
33,Male,81,3,60,1
34,Male,88,6,65,1
35,Male,60,1,70,1
36,Male,67,4,75,1
37,Male,74,7,80,1
38,Male,81,2,85,1
39,Male,88,5,90,0
40,Male,60,0,55,0
41,Male,67,3,60,0
42,Male,74,6,65,0
43,Male,81,1,70,0
44,Male,88,4,75,0
45,Male,60,7,80,0
46,Male,67,2,85,0
47,Male,74,5,90,0
48,Male,81,0,55,0
49,Male,88,3,60,0
50,Male,60,6,65,0
51,Female,67,1,70,1
52,Female,74,4,75,1
53,Female,81,7,80,1
54,Female,88,2,85,1
55,Female,60,5,90,1
56,Female,67,0,55,1
57,Female,74,3,60,1
58,Female,81,6,65,1
59,Female,88,1,70,1
60,Female,60,4,75,1
61,Female,67,7,80,1
62,Female,74,2,85,1
63,Female,81,5,90,0
64,Female,88,0,55,0
65,Female,60,3,60,0
66,Female,67,6,65,0
67,Female,74,1,70,0
68,Female,81,4,75,0
69,Female,88,7,80,0
70,Female,60,2,85,0
71,Female,67,5,90,0
72,Female,74,0,55,0
73,Female,81,3,60,0
74,Female,88,6,65,0
75,Female,60,1,70,0
76,Female,67,4,75,0
77,Female,74,7,80,0
78,Female,81,2,85,0
79,Female,88,5,90,0
80,Female,60,0,55,0
81,Female,67,3,60,0
82,Female,74,6,65,0
83,Female,81,1,70,0
84,Female,88,4,75,0
85,Female,60,7,80,0
86,Female,67,2,85,0
87,Female,74,5,90,0
88,Female,81,0,55,0
89,Female,88,3,60,0
90,Female,60,6,65,0
91,Female,67,1,70,0
92,Female,74,4,75,0
93,Female,81,7,80,0
94,Female,88,2,85,0
95,Female,60,5,90,0
96,Female,67,0,55,0
97,Female,74,3,60,0
98,Female,81,6,65,0
99,Female,88,1,70,0
100,Female,60,4,75,0
